AverageMotorStatorCurrent,AverageMotorPhaseVoltage,MotorActualTorque,TargetTorque,MotorRPM,PropotionalSpeedLimit,CalculatedBatteryCurrent,ControllerCapacitorVoltage,ThrottleInput,Synced,timeStamp
0.0,0.75,0.0,0.0,1.0,40,0.0,99.875,2.19921875,0,1685794224081
0.0,0.75,0.0625,0.1875,0.0,48,-0.0625,99.875,3.05078125,0,1685794224181
6.0,0.375,1.5625,10.0,0.0,78,0.0,99.875,3.4296875,0,1685794224279
36.0,1.5,10.625,11.0625,11.0,302,0.125,99.875,3.3984375,0,1685794224382
44.0,4.625,11.0,11.125,94.0,509,1.5625,99.875,3.4453125,0,1685794224481
47.0,3.875,10.9375,11.0625,152.0,666,2.4375,99.8125,3.39453125,0,1685794224581
47.0,2.6875,11.25,11.875,113.0,786,2.375,99.875,3.625,0,1685794224679
52.0,3.5,12.5,12.5625,108.0,909,2.4375,99.8125,3.58203125,0,1685794224781
41.0,6.625,9.0,7.4375,192.0,273,3.3125,99.8125,1.34765625,0,1685794224880
53.0,3.5,-13.6875,0.0,271.0,168,1.75,99.875,1.34765625,0,1685794224981
39.0,1.125,-8.0,0.0,115.0,84,0.6875,99.8125,1.37109375,0,1685794225079
7.0,1.9375,2.375,0.0,-31.0,10,0.4375,99.8125,1.3515625,0,1685794225182
12.0,0.0,2.9375,0.0,-38.0,0,0.125,99.8125,1.359375,0,1685794225280
0.0,0.75,0.125,0.0,-3.0,0,0.0625,99.8125,1.3359375,0,1685794225381
0.0,1.125,-0.5625,0.0,6.0,0,0.0,99.875,1.3515625,0,1685794225479
0.0,1.125,0.0,0.0,0.0,0,0.0,99.8125,1.375,0,1685794225579
0.0,0.75,-0.1875,0.0,2.0,0,0.0,99.8125,1.37109375,0,1685794225681
0.0,0.75,0.0,0.0,0.0,0,-0.0625,99.875,1.33984375,0,1685794225779
0.0,0.0,0.0,0.0,0.0,0,-0.0625,99.875,1.34765625,0,1685794225880
0.0,0.0,0.0,0.0,0.0,0,0.0,99.8125,1.359375,0,1685794225981
0.0,0.0,0.0,0.0,0.0,0,0.0,99.8125,1.36328125,0,1685794226080
0.0,0.0,0.0,0.0,0.0,0,0.0,99.8125,1.38671875,0,1685794226182
0.0,0.0,0.0,0.0,0.0,0,0.0,99.875,1.36328125,0,1685794226280
0.0,0.0,0.0,0.0,0.0,0,0.0,99.875,1.3515625,0,1685794226381
0.0,0.0,0.0,0.0,0.0,0,0.0,99.8125,1.375,0,1685794226479
0.0,0.0,0.0,0.0,0.0,0,0.0,99.875,1.375,0,1685794226580
0.0,0.0,0.0,0.0,0.0,0,0.0,99.875,1.38671875,0,1685794226681
0.0,0.0,0.0,0.0,0.0,0,0.0,99.875,1.38671875,0,1685794226779
0.0,0.0,0.0,0.0,0.0,0,0.0,99.8125,1.37109375,0,1685794226879
0.0,0.0,0.0,0.0,0.0,0,0.0,99.8125,1.3828125,0,1685794226979
0.0,0.0,0.0,0.0,0.0,0,0.0,99.8125,1.3828125,0,1685794227080
0.0,0.0,0.0,0.0,0.0,0,0.0,99.8125,1.38671875,0,1685794227180
0.0,0.0,0.0,0.0,0.0,0,0.0,99.8125,1.3515625,0,1685794227279
0.0,0.0,0.0,0.0,0.0,0,0.0,99.8125,1.359375,0,1685794227380
0.0,0.0,0.0,0.0,0.0,0,0.0,99.8125,1.36328125,0,1685794227481
0.0,0.0,0.0,0.0,0.0,0,0.0,99.875,1.39453125,0,1685794227580
0.0,0.0,0.0,0.0,0.0,0,0.0,99.875,1.375,0,1685794227679
0.0,0.0,0.0,0.0,0.0,0,0.0,99.875,1.38671875,0,1685794227779
0.0,0.0,0.0,0.0,0.0,0,0.0,99.8125,1.36328125,0,1685794227879
0.0,0.0,0.0,0.0,0.0,0,0.0,99.875,1.3828125,0,1685794227979
0.0,0.0,0.0,0.0,0.0,0,0.0,99.8125,1.3984375,0,1685794228089
0.0,0.0,0.0,0.0,0.0,0,0.0,99.875,1.38671875,0,1685794228181
0.0,0.0,0.0,0.0,0.0,0,0.0,99.875,1.36328125,0,1685794228289
0.0,0.0,0.0,0.0,0.0,0,0.0,99.875,1.36328125,0,1685794228382
0.0,0.0,0.0,0.0,0.0,0,0.0,99.8125,1.3828125,0,1685794228479
0.0,0.0,0.0,0.0,0.0,0,0.0,99.8125,1.375,0,1685794228581
0.0,0.0,0.0,0.0,0.0,0,0.0,99.875,1.33984375,0,1685794228680
0.0,0.0,0.0,0.0,0.0,0,0.0,99.8125,1.36328125,0,1685794228780
0.0,0.0,0.0,0.0,0.0,0,0.0,99.8125,1.3515625,0,1685794228880
0.0,0.0,0.0,0.0,0.0,0,0.0,99.875,1.375,0,1685794228981
0.0,0.0,0.0,0.0,0.0,0,0.0,99.875,1.33984375,0,1685794229082
0.0,0.0,0.0,0.0,0.0,0,0.0,99.875,1.37109375,0,1685794229184
0.0,0.0,0.0,0.0,0.0,0,0.0,99.8125,1.3515625,0,1685794229281
0.0,0.0,0.0,0.0,0.0,0,0.0,99.8125,1.3828125,0,1685794229380
0.0,0.0,0.0,0.0,0.0,0,0.0,99.875,1.36328125,0,1685794229480
0.0,0.0,0.0,0.0,0.0,0,0.0,99.875,1.359375,0,1685794229582
